timestamp,snr,sigma,nmse,ber,x_true_0,x_true_1,x_true_2,x_true_3,x_true_4,x_true_5,x_true_6,x_true_7,x_true_8,x_true_9,x_true_10,x_true_11,x_true_12,x_true_13,x_true_14,x_true_15,x_true_16,x_true_17,x_true_18,x_true_19,x_pred_0,x_pred_1,x_pred_2,x_pred_3,x_pred_4,x_pred_5,x_pred_6,x_pred_7,x_pred_8,x_pred_9,x_pred_10,x_pred_11,x_pred_12,x_pred_13,x_pred_14,x_pred_15,x_pred_16,x_pred_17,x_pred_18,x_pred_19
2025-01-08 18:53:32.460798,-15,5.623413251903491,-3.649899450118801,0.15,1,1,1,-1,1,1,1,1,1,1,-1,-1,1,-1,-1,1,-1,1,-1,1,0.3016260912121999,1.1822410975675,0.6980872548825,0.50725745195925,0.22403646606375,1.0574822684999998,0.196484746528725,0.6027071994025001,0.76900634337925,1.0678362235,-0.54896507428525,-0.189749764594225,-0.086281698083175,-0.7692971224224999,-1.059944303,-0.22467208581825,-0.57729312479025,0.844420197369,-0.64042675486274,0.4075124568955
2025-01-08 18:53:33.577451,-15,5.623413251903491,-3.3500409987049897,0.1,1,1,1,1,-1,1,1,1,-1,1,1,-1,1,-1,-1,1,1,1,-1,-1,0.41231033868325,0.3297550824235,0.094954292852875,0.474027762255,-0.1239615465668675,0.5270109345224999,0.5136489304332499,0.493197029395,-0.3214648749238749,0.46983218812295,-0.09879995169475,0.42691466452395,0.55093856106625,-0.3538693698732499,-0.9667408415,0.507406503365,0.830988680225,0.2523156733815249,-0.5474575013204999,-0.5179200583705
2025-01-08 18:53:34.643834,-15,5.623413251903491,-3.907534151691188,0.05,1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,1,1,1,-1,1,-1,1,1,0.47057087559525,-0.54042560948825,-0.4870707628475,-0.287046691949325,0.093693385932485,-0.5825494343075,-0.54594054264705,0.52110257663675,0.4934294889895,0.63178467257325,-0.2254185029235,0.354852746903725,0.1323379875105499,1.119726984,0.3382565069442499,-0.1948161044144999,-0.1621838773312499,-0.4632190582237499,0.6209396920675001,0.37140293019725
2025-01-08 18:53:35.796085,-15,5.623413251903491,-2.189661638971688,0.2,-1,1,-1,1,-1,1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,1,1,-0.691581490775,0.853889053175,-1.020869511125,0.3626267902508,-0.39436865888975,-0.7006964826647499,-0.088921698272225,-0.294321986362125,-0.185612569634625,0.58309496052775,-0.381077066046,0.109559101595425,-0.014636557581925,1.1245094675,0.135219309976825,-0.8479571684749999,0.174342648958275,-0.13816921269575,-0.0277047403567749,0.5291024731402499
2025-01-08 18:53:37.026333,-15,5.623413251903491,-2.9169164109254258,0.05,-1,1,1,-1,1,1,-1,1,-1,-1,1,1,-1,1,1,1,1,1,-1,-1,-0.4842451679085,0.42153058506075,0.2599994811200999,-0.292210722817075,0.48172546877065,0.236738410448775,-0.05992132558341,0.6029019284925,0.21018136683625,-0.381751082085125,0.62932671447875,0.1670360767522,-0.4335934924565,0.0825531533191,0.5541963582180001,0.7646669396225,0.0262168196418,0.0474175997899999,-0.79814288087,-0.1726638773204999
2025-01-08 18:53:38.144038,-15,5.623413251903491,-3.549359942110934,0.1,-1,1,-1,1,1,-1,1,-1,1,-1,-1,1,-1,1,1,-1,-1,1,1,1,0.118678401062325,0.08312680392025,-0.31030034383015,0.66822949074,0.698452874915,-0.324001681895025,0.8206141654654999,-0.7041234910225,0.1079933619809999,-0.138319917892,-0.168735331818675,0.568788927945,-0.277136894229,0.8407711804500001,0.4729300893679999,-0.623198745665,-0.7742884330900001,0.3867343115385,-0.219859064514375,0.5648527195497499
2025-01-08 18:53:39.260730,-15,5.623413251903491,-4.294858718195594,0.05,-1,1,1,-1,-1,-1,-1,-1,1,1,-1,-1,1,1,1,1,1,-1,-1,1,-0.333179430324275,-0.0680277853246749,0.2215055591069,-0.6726406563499999,-0.46425300542,-0.6542367779075,-0.117804394830225,-0.59754074621,0.409802195306725,0.14118887729925,-0.61604441968,-0.5331219899975,0.614629943312,0.35063654361175,0.0957637734845,0.37758200510325,0.87693614255,-0.6443198477975,-0.5845722504845,0.4966258385759999
2025-01-08 18:53:40.360767,-15,5.623413251903491,-2.596438030146522,0.15,-1,-1,-1,1,-1,1,1,1,-1,-1,-1,-1,1,1,1,-1,1,-1,1,-1,0.08324331440665,-0.38436589728805,0.18060243808475,0.177583216941875,-0.30896669988325,0.0279164473885,-0.6192441251325,0.47380947518475,-0.816667383025,-0.8161457483837501,-0.7306581751525,-0.31159759546925,0.6623720139425,0.19381915121025,0.525990551052,-0.6191231738975,0.4383771698357225,-0.3331200711749749,0.6330867482645,-0.35686832261325
2025-01-08 18:53:41.502955,-15,5.623413251903491,-4.341356506747168,0.05,1,1,1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,0.6604840801775,0.19183044506525,0.151871065965725,-0.1538399788747499,-0.89982377484025,-0.6112473891525,-0.23269468595035,-0.521538904125,1.244892356,0.09211735224495,-0.3607342727235,0.1681849431095,-0.5701661891575,-0.3657097698342499,-0.8652244640700001,-0.8431478939677499,-0.6190014376775,-0.1191093352331749,-0.851904914775,0.4984652851777
2025-01-08 18:53:42.660523,-15,5.623413251903491,-2.4034939785054545,0.1,1,1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,-1,1,-1,-1,1,1,-0.296561607006,0.3073365968799499,-0.53155615897,-0.4152984371134999,-0.431095123772925,-0.342657323813,-0.23890662524175,0.3503017346109,0.817949811365,0.05820981720376,-0.044487867144,0.08347125289625,0.4507203665407,0.086810162321925,-0.01818753646195,0.23043897296375,-0.549521947275935,-0.5396747837365001,0.26847999863425,0.401572768155075
2025-01-08 18:53:43.784084,-15,5.623413251903491,-3.164925086605308,0.1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,1,1,-1,1,-1,1,1,0.285893059487425,-0.1685323767520249,-0.544446694610125,-0.4375600012525,-0.034580604407075,-0.273677457780225,-0.3464041957665,0.4287395606010499,-0.4446643622338,0.25513537024495,-0.5652199772012501,-0.15574307215675,0.239773504327,0.29965422326025,0.543774615305,-0.2374184464115,0.50835366625125,-0.7090439660575,-0.134284183025575,0.419012373325
2025-01-08 18:53:44.918323,-15,5.623413251903491,-2.61589224358576,0.1,1,1,-1,-1,1,1,1,-1,1,1,1,-1,1,-1,-1,-1,-1,-1,1,1,0.4505806177299999,0.6895196470825,-0.6336906346832499,-0.12776659207065,0.2341728253835,-0.38603254780025,0.8069492562575,-0.70264087888,0.411292207601625,0.09855782755725,0.18693116217725,-0.172045027848625,0.5006663857720001,0.167318945245875,-0.4518398021305,-0.5081735743295,-0.217473524144675,-0.36026003928995,0.2778897364525,0.09390600047175
2025-01-08 18:53:46.131604,-15,5.623413251903491,-3.0510289146233527,0.05,-1,1,1,1,1,1,1,-1,1,-1,1,1,-1,-1,-1,-1,-1,1,1,-1,-0.3686012044957499,0.4038445120201749,0.5469434557917499,0.0064277327109999,-0.36678038582925,0.17484378603075,0.183462088691725,-0.623806206655,0.404216418715425,-0.4418902601616999,0.200566773606275,1.002552309725,-0.0694333982184,-0.2374251931731749,-0.3727197615335,-0.6451692308050001,-0.59480139850775,0.40213186442,0.37286151326,-0.3553466738815
2025-01-08 18:53:47.326990,-15,5.623413251903491,-2.4541199893398726,0.1,1,-1,1,-1,-1,-1,1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,1,-1,0.444001256338,-0.46629933365475,0.33470815299475,-0.4829658017604999,-0.2950273608875,-0.818819280575,-0.0636777947005499,0.0144320537279999,0.178686990669,0.30617796463575,0.337218936848175,-0.246456254881125,-0.129404896521225,0.66167624036525,-0.58688215804025,-0.083077535210625,-0.391806169308,-0.093414090578,-0.1296283160057399,-0.0434050977884249
2025-01-08 18:53:48.427387,-15,5.623413251903491,-2.5530637983400406,0.2,-1,1,-1,1,-1,-1,1,1,1,-1,-1,1,1,-1,1,-1,1,1,1,1,-0.5808990577550001,0.404996279315825,0.18095346602695,-0.07435703482125,-0.1242408290595,-0.345525826699975,0.4876494101993249,0.7008592234625001,0.48252415730425,-0.304132107321475,0.2331967556199999,0.1556238264097392,0.21559922190675,-0.3204442906749,0.701480147915,0.164195621641,0.2634954862512499,0.64555083718625,0.4547951524514,0.89150957008225
